# threshold=0.001
# window=5
x0,x1,y,convergence_iter
0.31940388883889725,0.7629593742689353,1.3226770395454077e-79,0
0.5743292145098291,0.879898104984359,1.0330782375230975e-46,0
0.7310236309563586,0.7329998764152272,7.710875114502849e-16,0
0.8403534169072556,0.26473161399676703,3.341771007676023e-124,0
0.6501140597987644,0.6815263520602101,-0.0036060626443634764,0
0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54,0
0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91,0
0.6834181688515067,0.8610574643936101,2.5350011535584046e-40,0
0.08250725182080587,0.403487506426324,3.6067711901420254e-81,0
0.8838898288181171,0.5822539743824439,6.229856468168659e-48,0
0.202514,0.586723,-3.828741202827685e-53,1
0.489595,0.116877,-1.7334156414975705e-68,2
0.020026,0.996624,0.0,3
0.956717,0.004359,5.025e-321,4
0.985825,0.98681,7.544962382682488e-180,5
0.044772,0.931757,-1.9408268030761353e-282,6
0.951495,0.745322,-8.619992148759635e-84,7
0.549305,0.180901,-1.0347496107335308e-52,8
0.8677785963441066,0.49150416671641717,-0.00016098875825126731,9
0.9533722736562323,0.3352635819850507,-0.00013412715277888283,10
1.0,0.8117662359757589,-7.122829835007704e-05,11
0.7697452816261388,0.44298651782923304,-0.00010374132867296525,12
1.0,0.5351447671190904,-0.0001236529840332231,13
1.0,0.6307018372803839,-0.0012013560045816595,14
1.0,0.2970663858483347,-8.343888630083166e-05,15
0.8749480151174809,0.3735256327726996,-7.12001788565875e-05,16
1.0,0.9566752624656161,-1.244714766277476e-05,17
1.0,0.21855074368806426,-4.025666174361982e-05,18
0.21407364021823583,0.8435256325396099,-0.00019116980517897863,19
0.07573077817438514,0.6503614907358088,-0.00019381169487639186,20
1.0,0.9024489609846501,-9.34557169034808e-05,21
0.5347095521451187,0.5292097123997659,-0.00011978375265833576,22
0.5556452463121435,1.0,-5.4848716781559455e-05,23
1.0,0.40919314456026074,-0.00010177221183045701,24
0.604818567634422,0.9569343458193749,-1.7734062564891273e-05,25
1.0,0.7876784027563208,-8.802854760277147e-05,26
0.7872095048570138,0.9286898245763782,-0.00012181972940851984,27
1.0,0.46597833017104107,-0.00014451467024559594,28
0.9647478346992129,0.23966799021858376,-6.792281011495088e-05,29
0.5495273327613921,0.80152443278653,-8.815171639050126e-05,30
0.5617446743655908,0.6309102878259246,-0.0010154724226474597,31
0.4197385001384265,0.9052536953402004,-0.00017910066759529658,32
1.0,0.7050693630568552,-0.001835787545285943,33
0.3302535672645479,0.5831672132576471,-0.0002216618813809286,34
1.0,0.5591833050660868,-0.0003731097866641416,35
1.0,0.6083694141958408,-0.00016142354392576272,36
0.9770178634127837,0.5085402452015122,-0.00015220488575332796,37
0.8124293011720481,0.3544208448815428,-0.00012930186797828223,38
