# threshold=0.001
# window=5
x0,x1,x2,y,convergence_iter
0.1715252068810621,0.3439168702758373,0.2487372010692387,-0.11212220046256897,0
0.2421144606124933,0.6440742697791076,0.27243280919945523,-0.08796286022736445,0
0.5349057202251034,0.39850091536763166,0.17338872894567725,-0.111414654295324,0
0.49258141463713434,0.6115931882759961,0.3401763860035727,-0.034835313350078584,0
0.13462166632061112,0.2199172404897456,0.45820621964922703,-0.04800758439218157,0
0.3455232705197697,0.9413598305723256,0.2693634790694064,-0.11062091307282658,0
0.151836632374168,0.43999061896644376,0.990881866558951,-0.3989255131463011,0
0.6455028351793182,0.3971429395797703,0.9197713377032198,-0.11386851478863991,0
0.7469119451655177,0.28419630922573424,0.22629985488752546,-0.13146060864136055,0
0.17047699396968063,0.697032400686134,0.14916943370830027,-0.09418956091057398,0
0.2205493370831766,0.2978252442230862,0.34355534441672586,-0.04694740582651916,0
0.6660136587669346,0.6719851513369297,0.2462952966705313,-0.10596503573558178,0
0.046808949722497384,0.2313602407834674,0.7706175921643,-0.11804825644688696,0
0.6000972824185008,0.7251357252228826,0.06608864149534865,-0.036377828071632486,0
0.9659948489488087,0.8611196897300882,0.5668291312870885,-0.05675837155397648,0
0.511508,0.325146,0.379547,-0.036355304218460616,0
0.624245,0.12209,0.649638,-0.1325982373185318,0
0.103448,0.310345,0.655172,-0.10496959234635765,0
0.961652,0.050285,0.098238,-0.12059359269141365,0
0.997172,0.018252,0.743186,-0.19369732460525266,0
0.103448,0.103448,0.103448,-0.09900479519096553,0
0.021216,0.186651,0.953626,-0.25818607414915357,0
0.619828,0.685527,0.375978,-0.019024187137242517,0
0.41036,0.735796,0.39901,-0.017420547095341146,0
0.661462,0.748041,0.43431,-0.020454333228941583,0
0.621312,0.709863,0.405131,-0.03893229854798407,0
0.424358431315991,0.6795215476350812,0.5212975989808413,-0.04411830113702253,0
0.35348558450712986,0.8532793826018827,0.4400043602678689,-0.030752744991161984,0
0.4733852128108803,0.5633267487659102,0.38215493498536607,-0.025761473675929736,0
0.2927966597362354,0.7975581313557535,0.3825893682469502,-0.026363908584024376,0
0.3753474561286933,0.633968627097609,0.4318690766541178,-0.025938074045366966,0
0.526660741475847,0.7978388508534487,0.3845881916781608,-0.024365286966391952,0
0.2514000545002591,0.618853474383645,0.3822766442068035,-0.02633942433012626,0
0.36339316978504055,0.8230875079252882,0.38810348295775127,-0.02722573773008863,0
0.5833867985448769,0.8605074628224818,0.43076552163350806,-0.028103457329593295,0
0.4979641431873925,0.6404906594518338,0.4793962870473863,-0.03348891899249429,0
0.28159995813557614,0.7392429436980061,0.3991019498129535,-0.023280341784789327,0
0.38581879360716387,0.6979010187925203,0.39735091142788903,-0.02224129905186656,0
0.32456856962041014,0.8514532816093405,0.36338873292695384,-0.028397913037049083,0
0.46437817747370785,0.6757687994895727,0.39206992281394715,-0.022868696153003132,0
0.43515903499705494,0.7622563856128288,0.3830801934539553,-0.022406441300261593,0
0.5133276545460106,0.7470900199829734,0.4537808950000913,-0.02771586964152184,0
0.32854893155495063,0.7161054174285305,0.4131849224599176,-0.023941409822748616,0
0.49824941555269703,0.680588111296563,0.36310464651421076,-0.02448041204380691,0
0.34003022596792454,0.8522322446887713,0.47683879637929283,-0.03453987052288876,0
0.3957595943607953,0.7273373348553344,0.37477066924661134,-0.021191795554581505,0
0.4468276672917724,0.7275684028350081,0.39231155826382896,-0.02119349392892378,0
0.48976273369142814,0.6970529351096973,0.37835765463439663,-0.021382459234857487,0
0.3815130213040308,0.7714154512860103,0.4045183109103996,-0.02166173049314679,0
0.5033061656553881,0.7795491206860932,0.3715130889071418,-0.023078912827266596,0
0.42621890702933685,0.761128251338496,0.3992069703969641,-0.019844528895244906,0
0.42792782423148923,0.720087429978412,0.4032596253279285,-0.021066125997436513,0
0.39960875866125933,0.75227159409446,0.39709559601769184,-0.01945931615649865,0
0.3806222396802976,0.661407662718055,0.37856940566930075,-0.022696947594711192,0
0.3942184029225152,0.7490096719503261,0.39961761712812915,-0.0191385567891158,0
0.423418208256597,0.7433902266818682,0.3957114262956221,-0.019776732817168075,0
