# threshold=0.001
# window=5
x0,x1,y,convergence_iter
0.31940388883889725,0.7629593742689353,1.3226770395454077e-79,0
0.5743292145098291,0.879898104984359,1.0330782375230975e-46,0
0.7310236309563586,0.7329998764152272,7.710875114502849e-16,0
0.8403534169072556,0.26473161399676703,3.341771007676023e-124,0
0.6501140597987644,0.6815263520602101,-0.0036060626443634764,0
0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54,0
0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91,0
0.6834181688515067,0.8610574643936101,2.5350011535584046e-40,0
0.08250725182080587,0.403487506426324,3.6067711901420254e-81,0
0.8838898288181171,0.5822539743824439,6.229856468168659e-48,0
0.202514,0.586723,-3.828741202827685e-53,1
0.489595,0.116877,-1.7334156414975705e-68,2
0.020026,0.996624,0.0,3
0.956717,0.004359,5.025e-321,4
0.985825,0.98681,7.544962382682488e-180,5
0.044772,0.931757,-1.9408268030761353e-282,6
0.951495,0.745322,-8.619992148759635e-84,7
0.549305,0.180901,-1.0347496107335308e-52,8
1.0,0.48923042665586025,-0.000161185781597728,9
0.9811298985258573,0.8127062652379619,-8.324052596652554e-05,10
0.877698994629132,0.5358276716317659,-0.00012591835828002144,11
0.787704914940703,0.8788591251254764,-0.00014807940620336946,12
0.9170464096907355,0.45503741227883643,1.2375481519124882e-05,13
0.9745087332474583,0.3343235102860256,-0.00012185492179679635,14
0.3607269182922418,0.7182591936187785,-0.00010529819388090965,15
0.7031436921226677,0.514118395003548,0.00033334663532600187,16
0.14865040626926707,0.5254056812185003,-0.00012231208594223357,17
0.4510094297106941,0.4391424553932983,-6.761128355667651e-05,18
0.28228247922913846,0.5713896160628654,-8.640436266778255e-05,19
0.5190915805293873,0.4121325104915232,-4.2698534381714474e-05,20
0.8145227357005643,0.40528486255212764,-3.983802277569963e-05,21
0.7597281301118946,0.35924864860833255,-0.000127595810875654,22
0.5826581615602534,0.22851838274902103,-5.01610567454637e-05,23
0.3789693765869112,0.6987152656302497,-8.216329063488494e-05,24
0.6944107767906691,0.5399766256741316,0.00035549146147730287,25
0.2150671635171636,0.5007270880395153,-1.4359657826178149e-05,26
0.4272199385259951,0.7228661226417941,-2.820027716700668e-05,27
0.26304476264642784,0.5222453588384897,-9.596599530537414e-05,28
0.6968135516126106,0.706331109853648,0.00037536224190178405,29
0.7141145201716861,0.9738561118480914,0.00021351828618824335,30
0.6940116664646081,1.0,0.0003716117660631399,31
0.6990359531021864,0.8466552692354148,0.00037666120349954987,32
0.6968308753074381,0.9572272905793054,0.00038432983030446883,33
0.701787136177156,1.0,0.0003632661378781716,34
0.6969506156053044,1.0,0.00038551440527763024,35
0.6970738161222234,1.0,0.0003855439676635937,36
0.697317245854413,0.9646658783568923,0.00038457168819159556,37
0.6960636942578677,1.0,0.0003840050306232551,38
