# threshold=0.001
# window=5
x0,x1,x2,x3,y,convergence_iter
0.1914470844571281,0.03819337135150802,0.6074178108720669,0.4145841369758819,64.443439863301,0
0.7586529492430261,0.5365177380716337,0.6560003817255494,0.36034155302921755,18.30137959857266,0
0.43834987265310876,0.8043397048222797,0.21024526639869967,0.15129481609432094,0.1129397953712203,0
0.7060508340594309,0.5341919611519633,0.2642433451718953,0.48208754903709394,4.210898128938665,0
0.8364779930351233,0.19360964686178006,0.6638926969585176,0.7856488828898288,258.3705254462536,0
0.6834322498676915,0.11866264178849073,0.8290459096967396,0.5675766059352313,78.43438888779464,0
0.553621479516824,0.6673499787364745,0.3238058191550842,0.8148697537245304,57.57153693261287,0
0.35235626946595233,0.32224153197183136,0.11697936758857319,0.4731125215557709,109.5718755614928,0
0.15378570594381347,0.7293816904129607,0.4225984366784806,0.4430741656488165,8.847991759070865,0
0.46344226738528294,0.630024510146729,0.10790645581865044,0.957643898670113,233.22361017104996,0
0.6774911484129013,0.3585095065455117,0.47959222446529515,0.07288048110014078,24.423088313942344,0
0.5839734124984879,0.1472426461525712,0.34809746209352754,0.4286146510285499,64.42014681963983,0
0.3068887187315784,0.3168781265532129,0.6226344812966896,0.09539905810631732,63.47671578508436,0
0.5111417749497505,0.8179569972191587,0.7287104181315311,0.1123536230961304,79.72912992694343,0
0.4389333758453766,0.7740917616539319,0.37816708638741714,0.933696206815422,355.8068177560159,0
0.22418902330288348,0.8464804904862864,0.8794841797090803,0.8785156842249731,1088.8596181962705,0
0.7252617231526987,0.47987048629522777,0.08894684260658514,0.7597602201100938,28.866751637393822,0
0.35548160950061236,0.639619366711706,0.41761767886414536,0.12260383967133603,45.181570346703786,0
0.11987922582428101,0.8625403059525095,0.6433313263318788,0.8498038287021323,431.6127567592104,0
0.12688467007850324,0.15342962125134962,0.770162187580243,0.19051810509577394,9.972331894593824,0
0.37454,0.950714,0.731994,0.598658,437.2942775168421,0
0.608145,0.136893,0.454197,0.808606,14.795219327528725,0
0.224189,0.84648,0.879484,0.878516,1088.8581918803375,0
0.258008,0.925806,0.879484,0.957644,2047.0685348661082,0
0.274937,0.803879,0.952871,0.996928,2181.0684110226225,0
0.701628,0.298494,0.517804,0.511965,4.027140129324265,0
0.071846,0.99024,0.96578,0.979771,3624.9574088189884,0
0.0,1.0,1.0,1.0,4440.5225,0
0.0,0.80105,1.0,1.0,2627.357018471009,0
0.9385527090157502,0.0007787658410143283,0.9922115592912175,0.6174815096277165,398.27339432813795,0
0.9774317970160633,0.9904920630805197,0.972871163217963,0.7888127355168796,3274.1856421513626,0
0.21181154264860846,0.8434964834891515,0.996031676152259,0.004589473241820796,2829.472758602539,0
0.6048014475164878,0.9847874411793471,0.0906697871437867,0.9570825275836711,386.46534359116725,0
0.4015342633654311,0.001425179272799726,0.05878072890178454,0.2748838989502965,439.0088307771817,0
0.9845897549187317,0.949739250822558,0.9310647899122504,0.08222472398866598,2357.541900827285,0
0.44812107535143164,0.4429084592671677,0.9768832973683258,0.6391564575501512,640.3142783757738,0
0.8166275899758181,0.9918125135615545,0.5378164449285423,0.880971391762304,558.4732774380215,0
0.9632359191712021,0.7088733544713264,0.9792912398738417,0.09251413834790245,1566.876177959537,0
0.3625649036558739,0.016519259876080494,0.14670401896147411,0.8164915265929096,359.86700845961764,0
0.07615490056222873,0.9933712385134649,0.8094475734061743,0.05082054807126435,1180.8192049706327,0
0.7658047453102871,0.704533631835963,0.020621351950485756,0.3057449752040019,370.13536990952764,0
0.9791237060702644,0.7789988134364385,0.9959751486200221,0.8625419984795952,2315.2968469161315,0
0.7544271435967831,0.9419763521427067,0.352014608165681,0.7776574028562147,553.0500187610867,0
0.22249029340229187,0.5971628920021741,0.9959419454666334,0.30259535603838983,1169.3005726905299,0
0.0806476940411749,1.0,1.0,1.0,4208.8576111592465,0
0.0,1.0,1.0,1.0,4232.381781436107,0
0.0,1.0,1.0,1.0,4234.659247457317,0
0.0,1.0,1.0,1.0,4236.396216952497,0
0.012916963038070012,1.0,1.0,1.0,4234.367830782177,0
0.0010266680783003355,1.0,1.0,1.0,4238.627125835754,0
0.0,1.0,1.0,0.679687004847328,4194.048584504386,0
0.0,1.0,1.0,1.0,4240.579367878028,0
0.17115218950864006,1.0,1.0,1.0,4193.418657351178,0
0.0,1.0,1.0,0.8074742761737974,4214.812843338157,0
0.0,1.0,1.0,1.0,4242.4268332752035,0
0.0,1.0,1.0,0.9813783273388171,4240.353816397122,0
0.053899878398382714,1.0,1.0,1.0,4228.073815004553,0
0.0,1.0,1.0,0.9216927759683875,4232.866269796795,0
0.0,1.0,1.0,1.0,4244.119542807521,0
